Year,m,d,Time,Time zone,Cloud amount (1/8),Precipitation amount (mm),Precipitation intensity (mm/h),Air temperature (degC)
2016,5,1,00:00,UTC,0,0,0,5.4
2016,5,1,00:10,UTC,0,,0,5.5
2016,5,1,00:20,UTC,0,,0,5.2
2016,5,1,00:30,UTC,0,,0,5.4
2016,5,1,00:40,UTC,1,,0,5.3
2016,5,1,00:50,UTC,3,,0,5.3
2016,5,1,01:00,UTC,1,0,0,5.2
2016,5,1,01:10,UTC,1,,0,5.4
2016,5,1,01:20,UTC,0,,0,5.4
2016,5,1,01:30,UTC,0,,0,5.1
2016,5,1,01:40,UTC,0,,0,5.1
2016,5,1,01:50,UTC,0,,0,5
2016,5,1,02:00,UTC,0,0,0,4.7
2016,5,1,02:10,UTC,0,,0,4.8
2016,5,1,02:20,UTC,0,,0,4.8
2016,5,1,02:30,UTC,0,,0,4.8
2016,5,1,02:40,UTC,0,,0,4.8
2016,5,1,02:50,UTC,0,,0,4.6
2016,5,1,03:00,UTC,0,0,0,4.6
2016,5,1,03:10,UTC,0,,0,4.8
2016,5,1,03:20,UTC,0,,0,5
2016,5,1,03:30,UTC,0,,0,5.3
2016,5,1,03:40,UTC,0,,0,5.4
2016,5,1,03:50,UTC,0,,0,5.7
2016,5,1,04:00,UTC,0,0,0,5.8
2016,5,1,04:10,UTC,0,,0,6.6
2016,5,1,04:20,UTC,0,,0,8
2016,5,1,04:30,UTC,1,,0,9.1
2016,5,1,04:40,UTC,1,,0,8.6
2016,5,1,04:50,UTC,1,,0,9.6
2016,5,1,05:00,UTC,0,0,0,10.7
2016,5,1,05:10,UTC,0,,0,9.9
2016,5,1,05:20,UTC,0,,0,9.8
2016,5,1,05:30,UTC,0,,0,9.3
2016,5,1,05:40,UTC,0,,0,9.3
2016,5,1,05:50,UTC,0,,0,9.3
2016,5,1,06:00,UTC,0,0,0,9.6
2016,5,1,06:10,UTC,0,,0,9.9
2016,5,1,06:20,UTC,0,,0,9.9
2016,5,1,06:30,UTC,0,,0,10.2
2016,5,1,06:40,UTC,0,,0,10.5
2016,5,1,06:50,UTC,0,,0,10.8
2016,5,1,07:00,UTC,0,0,0,11.3
2016,5,1,07:10,UTC,0,,0,11.6
2016,5,1,07:20,UTC,0,,0,12.1
2016,5,1,07:30,UTC,0,,0,12.7
2016,5,1,07:40,UTC,0,,0,12.3
2016,5,1,07:50,UTC,0,,0,12.4
2016,5,1,08:00,UTC,0,0,0,12
2016,5,1,08:10,UTC,0,,0,12
2016,5,1,08:20,UTC,0,,0,12.7
